ElectronicStove-11-29-12-Data4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42,N43,N44,N45,N46,N47,N48,N49,N50,N51,N52
14.1,16.4387,21.18,22.8533,16.4456,27.0391,25.9144,29.2609,16.4387,10.5934,23.4087,10.5865,35.8173,36.9214,27.0253,38.0392,41.1003,48.6257,59.9027,100.74,100.875,104.363,120.24,117.869,141.982,151.736,161.774,153.131,113.839,149.215,143.093,148.938,130.961,114.394,98.5043,101.565,103.252,106.314,92.659,76.9038,63.9535,56.9835,92.5171,67.4351,36.5009,59.2192,64.374,63.2562,63.3912,65.8899,44.0264,68.9648,45.8346
14.6,16.6462,17.6995,28.2703,48.8553,28.3516,23.2482,27.7436,3.4122,12.1508,20.0584,22.8327,27.0759,20.6962,14.5096,15.1475,42.7799,38.8411,45.6655,59.4261,62.0893,110.195,88.3342,82.0358,104.424,82.7855,123.207,85.53,83.7276,78.8167,102.733,88.4454,80.5378,97.0728,105.092,84.0612,72.6302,67.1621,81.1756,55.7909,78.7355,73.1867,45.0276,50.2422,37.7579,59.9528,41.6154,49.9385,23.3594,19.9472,34.4568,28.1292,22.7216
15.1,22.7753,25.411,26.3576,22.1693,19.8741,17.5038,19.193,31.0231,30.6825,34.4015,32.7123,20.1395,31.1598,17.8443,11.9668,30.0766,18.2464,38.3244,42.3088,41.9682,54.9568,62.7889,69.015,74.4152,69.0069,76.7103,95.7051,66.0306,86.5107,62.0462,74.619,74.2784,80.1559,81.3759,60.8343,62.6522,83.9581,75.3617,54.6162,37.6433,47.2398,36.2946,45.0197,53.7984,32.7123,26.3576,33.3183,41.5661,28.9933,30.0766,35.0075,26.1537
15.7,18.5417,25.9495,17.6421,31.0667,40.5085,33.6788,11.9263,25.1571,25.9495,24.3441,18.6488,15.9296,41.8791,22.7592,30.0599,28.4545,25.2437,45.1971,64.424,53.1201,45.1971,36.9762,41.6018,40.2737,56.1166,58.9225,35.0699,44.7055,44.5984,55.3242,45.0899,71.468,66.458,56.3104,45.1971,32.5649,57.8086,52.0062,38.9031,57.0162,40.488,27.5549,27.5549,31.1738,33.5717,45.4113,28.4545,25.1571,17.6421,40.9795,29.3541,25.2437
16.3,21.0248,22.4719,23.4065,23.7152,41.8459,16.1596,23.4065,41.4237,26.1988,27.2353,18.8499,23.8171,26.1988,27.0316,16.6719,36.7621,27.2353,46.1871,31.9987,51.7833,28.4786,43.4967,44.845,54.4706,39.042,59.3389,35.4169,53.1285,39.9766,38.6314,50.7437,32.6278,54.0631,25.7882,41.4237,39.1438,33.3439,31.8968,48.2632,23.7152,36.5584,35.7256,15.746,50.8486,38.0054,38.8382,28.2718,23.7152,22.37,22.4719,16.6719,23.8171
16.8,20.6832,15.8999,27.067,17.7114,32.3044,18.4177,18.4177,25.3747,15.8586,22.6964,31.7172,27.1862,22.2424,29.9057,45.3103,26.2002,29.9057,37.115,32.9968,47.8694,44.4848,37.8214,35.8355,49.9238,37.5278,43.0448,45.1911,34.4367,48.0711,24.2283,38.8486,31.598,31.598,40.6601,25.7875,30.7312,18.1241,34.4367,39.7933,33.1572,16.7254,27.1862,21.2704,14.8726,35.4227,18.5781,35.7163,37.2754,23.9347,17.1382,24.5079,17.7114
17.5,34.9538,23.5908,29.2809,31.4399,20.2518,28.477,17.2716,18.8795,28.0664,29.657,30.6359,24.9803,30.6187,35.3299,21.5895,27.1392,28.8531,19.8239,34.9538,43.0731,31.4226,24.5697,61.6652,50.2676,15.1127,22.0001,39.6651,35.7405,29.5166,37.1128,31.4054,34.9366,47.8903,30.6187,20.6451,35.7751,33.2055,40.8797,35.3644,24.9458,24.1418,24.1591,25.9074,36.7022,12.8133,21.0385,37.4889,34.3855,19.4306,31.4571,30.6187,20.2345
18.1,35.2408,13.8388,32.1494,30.0911,21.8581,23.3856,29.9519,28.2467,33.1462,27.5021,26.5799,37.0106,20.5827,41.1654,30.1657,28.7775,48.4763,28.8158,31.6187,39.422,36.6574,36.4798,61.393,27.5021,25.8353,24.3078,30.6965,17.2108,45.9883,35.7352,27.8936,24.6993,34.0684,20.5827,36.4798,34.9523,30.0911,41.341,19.7998,21.3273,29.9519,33.677,13.4857,32.0101,30.8358,15.8971,27.1853,39.4603,18.5244,21.4666,21.7188,27.716
18.8,44.2145,32.8291,25.5534,27.519,35.1903,36.071,35.8797,42.6573,28.8978,32.1397,36.9517,27.6345,35.1903,33.0334,33.9011,39.811,24.2771,27.3277,41.5853,29.0891,39.1216,28.7065,30.6592,42.1592,25.8602,35.1903,54.6425,31.9484,33.0204,32.1397,24.0858,23.5877,49.8305,34.8077,27.1235,26.0515,34.8077,37.8324,50.3416,28.3997,42.1592,43.7423,28.2084,26.4341,30.1741,23.1922,26.9192,22.1202,27.519,27.3277,21.9289,10.5047
19.5,28.0195,23.8093,38.0129,28.1689,30.2296,25.0501,28.5344,34.6225,28.9888,30.2296,45.6467,45.2863,34.4398,38.3784,30.6839,44.0122,33.0162,32.1075,37.1375,37.2263,26.9281,28.2022,26.1415,24.4131,34.2903,26.9281,26.4737,38.8327,38.6499,25.0501,32.7446,32.3791,34.4398,29.6258,27.3824,25.6872,32.9274,35.8634,29.8086,28.6232,22.5351,27.5651,25.5044,43.6466,24.5958,30.6839,28.806,21.477,28.6232,30.2296,28.7172,22.5351
20.2,30.232,24.2599,28.5324,37.1679,21.5386,13.9248,33.3296,43.6646,39.5503,23.582,38.338,41.0013,32.8954,31.349,25.9644,32.1222,34.256,36.9193,37.8458,32.2755,50.3195,31.0052,27.664,30.7615,36.9773,42.8915,43.0772,28.8714,27.8497,27.5107,31.1005,33.6685,18.5363,28.0982,37.0726,27.0765,24.6941,24.3552,38.6189,26.7375,25.3769,48.6151,31.4394,30.3273,30.513,29.3056,29.3056,33.6685,28.781,14.6076,28.7181,20.7654
20.9,24.5683,28.9778,39.0378,31.1957,27.4604,25.3464,48.1984,34.6671,29.6222,26.825,31.2345,14.2707,26.4834,32.7132,31.1957,36.9238,34.4683,27.802,31.2345,40.8969,38.8001,40.9917,35.0087,43.9878,16.1858,33.4913,30.2964,29.7171,15.4465,28.0008,33.3485,25.3464,24.3695,44.3854,43.3913,48.1984,33.5301,24.1706,42.3103,23.5913,25.1088,25.8869,25.5453,33.889,28.779,31.6322,34.8659,28.9778,28.3037,26.825,20.3964,16.1858
21.7,25.1515,28.7448,26.4892,35.0135,29.5861,24.3102,40.0194,31.6106,29.3161,39.829,38.4913,26.7952,33.1794,41.4726,35.3195,30.1574,47.2061,48.9653,42.3906,27.6724,30.0825,44.5696,48.0084,32.8345,24.9611,37.65,31.801,38.9128,24.6551,23.5078,26.185,26.9856,25.6479,28.2484,35.4692,14.0266,35.2788,45.8684,18.9577,23.5078,23.6982,35.3944,19.9145,28.1328,35.8159,15.711,36.3512,15.2895,21.7486,27.2916,26.7952,16.7427
22.5,28.8312,21.4835,27.5482,18.5445,33.8541,24.2633,20.3348,14.9366,41.8979,39.3319,29.5797,20.9489,17.796,39.3319,27.7097,33.7745,41.1494,29.8207,32.1456,44.9712,41.3633,27.4687,49.8621,40.4829,46.9207,21.1104,37.6759,29.8207,29.0451,33.5606,42.5143,35.137,24.4772,20.9489,23.5673,10.7417,36.179,27.4958,33.5606,20.2005,28.0032,45.3442,22.0704,20.3348,22.7665,25.9194,29.0451,35.0575,26.7998,32.5187,28.0828,33.5606
23.3,14.7828,20.4175,28.0201,27.302,24.6161,28.0566,20.9492,18.5659,31.4606,34.8647,29.9481,32.1787,26.8831,27.302,28.4356,30.7425,20.0784,27.6411,38.2653,30.0244,37.5473,34.5222,27.7938,48.514,29.9481,26.923,39.0997,23.4825,31.8761,36.7129,44.0163,37.0953,36.0746,35.5828,29.9481,22.3091,22.7644,16.6379,28.3957,19.663,28.0566,20.8729,14.3674,27.7539,26.8467,19.663,17.8843,27.3385,19.284,26.0887,26.4677,27.6411
24.1,19.899,19.5506,27.4881,30.3801,13.3903,28.2128,19.1744,16.2823,40.8645,23.1779,23.5402,26.4183,21.345,28.9341,27.8504,29.2825,30.7564,45.2026,22.8049,24.9862,34.3591,21.3311,33.6345,22.4426,23.5263,33.6623,27.8504,26.056,26.7946,32.1779,28.9619,27.4881,22.0803,28.948,16.2823,33.6206,27.4742,24.61,18.4391,14.474,23.9025,29.2825,25.3346,22.791,20.6343,28.9341,24.251,20.9688,20.6065,24.2788,22.4426,17.7423
25,25.0541,16.6849,21.2309,19.4835,22.9783,24.0162,18.0909,20.8762,12.8751,23.3063,30.2695,25.0407,20.5478,20.9025,24.371,27.8528,35.8534,23.6615,39.3218,12.4936,32.372,21.5991,31.6889,29.5734,37.5744,26.7747,24.7257,22.2554,32.7,22.637,27.4842,18.0909,35.1439,33.3965,29.5868,17.0664,14.2811,26.7881,21.2443,22.2688,28.5221,17.4212,22.9649,23.6615,16.6849,18.0909,18.4323,22.9917,17.7759,34.0793,25.7502,32.7134
25.9,20.142,14.0782,17.0719,20.7922,22.7512,18.4571,24.0855,23.4778,17.1143,19.766,33.194,16.1136,32.5014,17.431,29.4652,20.0571,20.4162,21.4848,34.5283,16.0711,20.3652,31.5006,23.1018,15.7715,29.5416,25.1711,28.473,12.7354,27.5147,18.4147,24.4446,22.7851,22.4431,26.856,25.8213,11.7431,17.7645,15.7715,23.7859,28.849,12.7439,22.101,28.1224,22.0501,10.7424,17.4139,21.1003,14.7369,19.0309,12.7439,12.0513,16.7298
26.9,20.7389,10.6458,16.8913,16.2227,10.6867,19.0504,19.5246,21.4074,17.7543,19.719,20.1112,28.5159,23.8839,13.8657,19.76,32.0941,19.4836,31.1083,22.076,15.5951,31.4665,23.8839,12.2183,31.1083,22.035,26.4353,27.7724,19.719,22.939,18.6992,20.3876,26.084,26.4762,12.5695,12.3342,16.5775,8.44564,23.3312,29.4608,18.0306,23.8429,9.11421,24.5524,23.2972,18.1465,20.3876,22.9799,24.9037,15.6361,19.0504,18.0306,29.8531
27.9,11.1736,20.2398,11.0415,8.55852,15.1418,7.82474,9.93205,16.985,28.6663,21.3493,9.66801,11.1736,21.857,17.6248,17.4927,20.2398,17.2491,23.5886,22.3471,32.0151,22.4588,24.34,16.759,14.502,16.1396,17.8684,25.1855,18.9983,18.6022,20.3515,14.0323,15.8931,18.1325,21.4813,20.9736,16.4009,21.819,19.7321,15.2738,13.1665,17.8684,19.6001,11.7929,29.174,17.117,19.8437,25.9192,14.0323,13.5246,20.1078,13.0344,20.9736
28.9,13.2994,4.89146,20.634,14.5414,18.2317,22.8216,14.5006,12.3946,12.3538,23.0363,23.164,18.1909,8.58179,18.4055,8.83724,12.0114,15.8294,21.6205,19.3051,17.3321,11.0657,16.9898,13.4272,25.6071,8.58179,29.1697,24.4929,22.9085,19.6014,29.2566,13.2994,17.0306,15.7886,10.8972,14.5414,16.8159,15.0115,19.4329,10.9841,19.392,19.4737,19.5606,16.9437,15.9163,20.8486,16.0849,24.6206,10.8972,19.3459,18.2317,14.7152,8.62261
30,10.2986,11.4522,12.6058,8.88053,6.22141,18.7256,20.6807,18.1091,10.8357,14.0279,8.52855,19.7122,17.1366,14.746,12.5223,5.76783,16.6035,13.2263,18.3736,17.3216,12.3412,10.2152,18.3736,16.1499,10.2152,10.2986,18.6421,16.335,22.4548,17.9421,14.9129,16.0665,12.4428,16.872,17.8405,7.45844,11.4522,21.8343,17.6736,17.9421,17.572,14.9129,16.9555,22.0194,21.1343,21.4863,10.2986,17.22,9.76558,20.6807,11.6373,17.22
31.1,12.3018,8.24688,9.36522,15.2943,7.30775,15.815,7.12854,14.8758,16.2545,10.9231,16.2545,12.0414,21.2485,14.5384,16.4938,18.312,10.6628,16.2545,12.7202,22.525,20.1862,20.9671,12.8574,22.0855,16.0753,17.8935,17.6331,15.815,20.028,21.723,13.8386,20.5486,14.6155,18.368,14.4363,19.3281,17.8935,12.0204,11.7811,12.3578,10.2232,11.6019,18.6493,14.6966,20.865,15.9942,15.0941,14.3942,24.9199,23.4852,16.2334,11.1834
32.2,7.59579,5.54875,9.35996,8.26597,8.13391,12.6153,11.5213,17.8999,9.75714,15.1916,7.03992,14.6446,10.3041,7.59579,5.68969,14.2385,11.3892,19.5232,13.1534,12.6064,29.024,16.0027,17.3608,17.0878,16.4088,20.0613,16.2767,18.0409,20.2111,26.9681,18.579,18.032,16.2678,13.4264,15.8706,19.7962,13.0214,20.3431,22.2315,15.9938,18.579,19.1171,13.1534,16.9469,17.7669,17.3618,16.8138,21.8333,25.2306,15.7297,18.711,11.9274
33.4,7.31978,10.5712,7.52287,11.0898,7.4256,5.8528,14.2268,12.2327,11.5111,10.6599,13.7082,9.09567,12.2327,16.7309,13.6024,13.2784,22.6895,10.0441,17.8824,17.3639,16.2124,8.47128,13.0753,13.2784,14.5272,14.1295,13.797,18.401,10.2386,18.8479,23.7352,25.7293,15.8969,15.1667,9.61424,18.4095,15.2639,12.654,15.3783,12.0382,20.5982,19.8765,14.7454,17.7852,15.7911,7.94417,17.3639,13.6024,15.2639,16.2124,13.8055,13.6024
34.6,1.0164,9.55709,16.4248,12.278,8.21241,15.3272,12.278,14.7203,12.1968,14.7203,13.6542,13.0158,10.983,11.8685,9.83572,10.983,7.93379,10.5735,17.0317,13.6227,16.294,17.6883,10.5238,15.7367,13.1782,11.212,22.8515,15.3272,21.2282,12.1968,21.147,11.6214,14.392,16.294,21.8351,9.22881,8.90053,15.3272,12.6875,14.2296,18.7859,20.6878,15.3272,15.246,14.6391,26.1793,15.6555,17.6386,14.6706,8.81932,16.7531,10.8521
35.9,7.852,10.7965,10.9099,6.92721,13.5374,7.90871,12.2956,8.16901,14.4622,15.7607,11.4872,13.4807,13.4807,6.20601,12.8162,15.4437,15.704,18.1279,15.5571,19.63,14.4317,19.1094,14.5756,12.2956,13.8544,9.00363,13.7977,10.8532,22.1106,15.704,21.593,11.7475,19.2825,21.3022,11.8347,14.5189,18.301,18.7052,22.5715,14.4622,18.4449,11.8914,13.7977,10.7965,16.4252,14.1147,25.2587,11.1702,13.7105,8.89021,15.7607,17.9243
37.2,8.89489,9.33521,4.32898,7.89771,12.7087,18.4086,7.22884,13.6726,13.6309,9.80879,9.80879,10.324,15.542,10.0706,15.1017,15.1017,9.33521,20.353,15.8287,15.2886,16.2774,13.6642,10.3156,13.4773,9.62188,14.1378,18.9238,18.7037,23.2528,10.0706,15.5837,18.6704,9.55538,9.80879,15.3219,24.4702,17.9351,11.2795,14.4244,12.4552,18.662,17.2662,16.0572,13.6726,16.5724,17.2329,13.6309,18.4086,16.024,17.9683,13.4108,17.0376
38.5,5.05844,9.25476,9.04176,6.98994,12.0282,9.96622,3.91086,9.68076,20.8569,13.2583,7.19283,15.0145,13.4612,17.9908,16.6606,19.6369,8.84898,11.1037,12.9526,16.6404,9.05187,18.2965,15.513,12.657,15.5332,13.4612,14.8117,16.8736,12.9627,13.1656,17.0765,16.1419,14.3857,8.32018,8.53318,11.7427,23.1217,18.9153,18.2965,19.4239,28.7713,14.0901,10.5951,13.1757,12.87,16.4476,7.19283,16.2346,20.867,16.6606,16.6505,18.2965
40,4.49412,5.39544,8.30968,13.4948,3.5928,13.5073,10.6055,9.69175,14.6064,12.1003,9.00071,12.8163,11.2114,7.90158,21.817,14.1983,12.7913,9.06089,13.7176,16.4942,15.0872,15.718,18.4946,14.0005,13.0016,14.8167,15.0872,15.2975,14.6064,14.1983,13.5073,12.1979,15.0872,17.6058,9.01319,14.6189,9.48146,10.6055,18.6925,17.1126,13.6802,14.4086,11.5069,18.9027,14.2108,7.60617,16.9023,13.7051,17.0876,18.9027,12.8163,19.5938
41.4,8.06533,9.33563,9.60854,12.3983,14.815,4.57131,8.93883,9.14263,10.8443,7.82698,10.6858,11.7524,12.8642,14.1799,13.3064,16.5275,14.3837,5.38649,13.4994,9.34642,14.3491,17.2317,15.6194,7.15727,19.5793,10.8788,16.0961,17.0042,15.0534,15.8923,14.815,12.6366,10.2199,14.1453,11.3556,12.8642,14.3491,12.4328,19.1134,21.1679,13.2372,18.9442,17.4355,10.8896,14.1799,10.2437,9.77778,18.9442,14.1107,17.1626,14.6112,14.7459
42.9,9.38039,9.84578,8.802,5.34927,10.1767,12.7766,10.2332,5.96934,10.9312,8.7455,10.5075,12.6784,12.4457,10.5075,11.0859,12.6784,8.23844,9.38039,7.28749,10.2332,19.557,9.88746,19.1697,15.004,10.9312,12.9676,11.0294,12.7914,9.94396,9.32389,11.3186,13.6442,10.5075,15.004,15.0605,7.0548,12.7349,13.355,10.3528,15.3497,19.5005,12.4041,7.90756,11.9387,9.65477,12.1714,11.0294,7.85106,15.5259,14.9059,12.1714,8.08375
44.5,2.48322,10.0437,11.7913,6.26344,4.41941,7.10557,7.09118,9.10515,11.5884,9.94728,9.30809,11.7913,8.12186,14.633,15.0101,8.01109,7.73038,5.79419,9.57441,7.44967,15.2908,12.619,8.19964,10.9636,15.4794,11.9799,11.0413,7.09118,14.9323,11.5106,8.74667,16.3071,10.6051,17.227,11.0413,6.62193,10.3244,11.5106,15.5715,14.1824,13.6683,11.8099,10.4021,11.2299,12.9775,12.8854,14.3523,11.8691,13.9938,14.3523,12.1684,11.8691
46.1,11.2367,4.74613,2.32793,8.3508,7.28161,7.63201,6.01387,5.66347,5.5732,8.89975,5.2048,11.5871,8.79147,11.6863,9.95994,10.0682,10.5179,10.8773,7.18234,13.3045,15.6234,7.54173,7.63201,10.778,9.95094,12.8368,8.45007,6.01387,12.7375,16.0821,8.44108,12.7375,8.3418,8.79147,6.83194,8.0004,13.1962,13.6549,7.17334,14.8143,12.6293,9.85166,16.0821,10.4186,16.0911,12.7555,11.6863,10.8773,12.7555,13.6639,20.2883,10.0682
47.8,5.03589,7.53691,7.5152,5.59294,5.50518,8.09396,3.93227,7.53691,8.96817,8.09396,6.52105,9.75462,7.07809,9.08811,10.661,10.8904,8.78219,6.95815,8.30165,6.1717,10.8904,7.9523,7.86455,7.62466,7.07809,6.75046,6.95815,11.7968,13.8068,10.661,11.0104,10.5628,7.74461,11.0104,9.08811,8.18171,9.4487,15.6092,8.651,12.2339,9.31752,11.6769,7.5152,12.6927,15.4892,8.84822,8.53106,9.31752,18.2857,10.3117,11.6447,11.6769
49.6,2.93712,9.55544,5.38699,3.16161,3.07828,5.41249,3.07828,8.0163,10.6328,3.62336,5.93207,9.09368,10.1711,7.6957,10.0877,6.09873,8.3369,9.09368,11.5435,11.4857,11.4024,9.23484,9.23484,8.0163,8.5486,16.4816,6.70164,6.92613,5.38699,14.7052,13.8523,6.41934,15.9365,4.86741,9.31817,9.77992,13.5827,11.4857,4.61742,9.31817,9.77992,8.24078,8.5486,11.0946,6.64382,10.575,12.0886,15.3336,12.717,11.5435,11.1779,12.9415
51.4,5.94564,4.52041,5.19307,6.69904,6.02722,11.0563,3.01361,6.69987,5.19224,2.17946,5.94647,5.86489,7.37086,7.37252,7.37169,6.61746,8.20667,7.45244,10.4669,6.53671,6.61829,8.20667,7.37252,6.61912,11.058,8.96008,8.20667,11.1395,8.12592,11.8114,4.52041,10.3037,9.63273,7.20853,12.4033,9.79423,7.45244,8.79692,3.76701,10.4661,14.2339,10.4669,9.6319,8.28742,12.6447,10.2221,8.28742,11.8913,11.8921,9.79423,11.8921,8.8785
53.3,4.42746,6.11602,1.55491,4.64021,5.85344,2.42648,2.21373,8.19609,8.59233,6.72027,1.76766,8.19609,5.16536,6.2742,5.71978,6.64118,10.4098,13.2325,5.71978,7.93351,5.24445,7.67093,6.06145,6.06145,5.53629,8.67142,7.45818,6.53678,8.22535,8.0126,10.3307,13.8368,5.06096,9.40933,7.43287,12.5445,12.2819,7.45818,12.2819,8.59233,12.6235,13.8368,13.3615,12.2819,9.06766,4.50654,10.3307,11.0188,13.0989,7.85442,11.0979,12.8363
55.2,2.89221,6.299,4.13744,4.85289,8.98653,8.00619,3.61526,5.58354,6.3028,2.43025,3.66788,3.1533,5.06136,8.26728,5.57974,6.50746,13.0149,7.54043,11.8261,11.3642,7.95356,7.80532,7.23051,7.49161,5.57594,7.28694,7.23051,7.48781,12.8629,7.02585,7.23051,12.8103,8.21086,6.0417,10.38,8.21466,4.13364,10.3838,7.54803,7.02585,13.0751,9.45609,11.8299,7.7489,10.1753,16.8913,10.8458,10.4326,12.8103,19.1169,15.2329,17.6669
57.3,2.86523,3.54396,5.15845,3.57402,9.01848,2.63936,5.67033,8.7024,6.12318,5.41439,3.99681,11.1449,6.37912,5.24865,7.6009,8.53556,5.7004,7.57083,7.82677,8.95835,7.17811,9.18532,9.27442,6.18331,6.40919,5.8973,5.73046,12.7883,7.99361,6.83197,7.11798,8.24956,9.92308,5.05174,7.79671,8.95835,8.24956,7.57083,7.76774,9.6972,12.0506,12.3666,9.6972,12.5324,16.7551,5.41439,12.8184,9.04855,11.1148,14.9759,10.6619,12.2464
59.4,6.70382,4.64801,5.34311,5.53128,6.89199,5.54392,3.95292,3.95292,6.99308,2.56273,5.12545,6.89199,6.95096,6.64485,6.45667,6.92147,9.4842,6.22638,8.09401,13.6843,12.4233,8.7891,10.8449,8.75962,12.0469,7.39891,12.7125,12.2646,6.51565,6.25586,6.00872,7.68818,6.95096,14.5507,10.5107,6.95096,10.9039,11.092,9.70186,6.00872,5.97924,12.0006,10.1793,7.18126,10.9039,8.38328,12.4949,11.988,16.4352,17.7074,7.61657,10.9039
61.5,2.25933,5.66899,5.3869,3.40966,8.10101,6.77799,7.91471,8.31455,6.09606,4.98706,3.83673,3.60958,6.13739,4.30513,3.1548,7.90109,4.98706,10.8287,8.11463,9.07865,12.5924,8.99648,7.83253,9.9605,9.69203,8.79656,7.24639,10.5603,7.44631,4.29151,13.3702,4.65002,7.90109,10.1877,10.1463,8.38311,10.8424,6.81932,13.5565,11.3244,7.91471,10.5325,9.07865,10.174,19.0255,6.09606,10.5875,9.01009,10.6424,9.07865,5.45546,21.2713
63.8,5.93174,7.27073,4.29393,3.25375,5.43665,9.85499,6.98073,6.77564,9.09177,1.24526,8.60973,5.73547,5.26224,6.50751,5.93174,8.21718,6.02547,10.6989,6.87819,9.27922,6.3831,7.44514,11.1721,12.4304,6.87819,6.20869,6.69497,10.5964,5.64174,9.08295,7.07446,9.3599,8.98041,9.09177,5.16851,9.56499,4.8697,5.35597,12.0379,13.0999,11.7609,9.45363,9.94872,10.3282,13.4794,7.36446,11.5647,12.8099,11.8547,12.6267,9.09177,8.50295
