ElectronicStove-11-29-12-Data4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42,N43,N44,N45,N46,N47,N48,N49,N50,N51,N52
4.14,0,0,0,200.006,907.412,958.924,1187.42,1739.5,1166.87,1547.43,1670.3,1723.31,1674.27,1798.24,1773.72,1970.86,1880.01,1626.33,1409.74,1155.36,1202.9,583.434,360.01,423.429,283.977,143.422,83.9714,360.01,80.0023,0,80.0023,80.0023,23.4181,0,0,0,0,0,0,40.0011,0,0,0,0,0,0,0,0,0,0,0,0
4.29,0,0,0,236.534,700.914,1145.61,1482.97,1406.3,1339.72,1445.91,1867.16,1608.85,2018.15,1824.74,2076.03,1867.16,2210.6,1893.17,1561.5,1051.19,799.373,929.716,283.175,575.747,173.472,197.625,315.06,141.588,247.779,70.7939,24.1527,70.7939,91.4343,35.3969,0,59.5496,35.3969,35.3969,0,0,0,0,24.1527,0,0,0,0,0,0,0,0,0
4.45,0,0,0,269.378,541.946,1482.19,1198.26,1736.77,1806.1,1554.95,1578.09,2072.13,2006.15,1579.73,1711.92,1475.65,2308.4,1682.08,1652.56,1513.83,1219.44,624.678,738.564,342.137,313.934,520.525,110.696,251.147,62.7868,71.0445,81.017,62.7868,198.333,8.25771,94.1802,72.7593,0,62.7868,31.3934,0,0,0,9.9725,0,0,0,0,0,0,0,0,0
4.61,0,0,0,217.781,542.153,1476.91,1349.51,2026.54,1912.54,1884.39,2220.64,1951.03,2273.8,2238.38,1927.28,1740.58,2533.14,1879.86,1871.05,1694.76,1675.42,1011.73,839.91,715.511,614.791,354.053,379.266,248.865,140.741,185.164,133.337,140.741,28.1482,105.189,0,84.4445,0,28.1482,28.1482,0,0,0,0,0,0,0,0,0,0,0,0,0
4.78,0,0,0,187.159,678.629,1237.41,1492.07,1960.81,2251.6,2329.38,2404.7,2337.63,2146.77,2810.14,1773.65,2328.61,2445.96,2034.39,2604.88,2098.07,1540.22,949.503,1012.81,1040.55,615.951,529.729,374.317,403.558,237.627,317.336,237.627,111.456,86.2215,86.2215,0,126.171,25.2343,25.2343,0,0,25.2343,10.5187,10.5187,0,25.2343,0,0,0,0,0,0,0
4.96,0,0,0,126.734,490.591,1020.03,1787.53,1981.09,2119.41,2298.77,2670.66,2590.57,2449.41,2539.44,2378.8,2813.27,2419.8,2280.51,2163.95,1711.51,1748.22,1549.24,1534.3,956.76,902.78,776.513,526.128,367.407,422.135,285.688,194.724,104.226,126.967,81.485,113.705,68.2233,67.99,22.7411,45.4822,22.7411,0,13.2617,36.0028,0,0,0,22.7411,0,68.2233,0,0,0
5.14,0,0,0,197.027,435.019,612.303,1378.98,1941.26,2483.91,2608.07,2813.53,2679.69,2988.56,2470.55,2463.53,2501.05,2649.46,2884.14,2022.76,2262,1575.37,1522.67,1661.65,1178.64,923.373,682.283,526.854,508.308,391.59,467.344,208.764,279.167,187.754,123.527,185.29,61.7633,32.325,61.7633,93.8772,20.5878,0,0,32.1138,0,0,61.7633,0,0,0,0,0,0
5.33,0,0,0,83.0866,283.203,705.494,1648.53,1665.14,2127.09,2185.61,2574.13,3330,2813.6,2642.67,3008.96,2611.28,2915.4,2046.39,2911.75,2298.88,2143.29,1461.4,1414.19,1282.24,862.464,678.545,859.811,777.966,210.593,459.853,299.539,253.877,243.401,114.653,114.653,39.8026,83.0866,74.8503,83.0866,0,56.1377,56.1377,45.6615,37.4251,56.1377,0,18.7126,74.8503,0,0,18.7126,18.7126
5.52,0,0,0,17.1096,321.995,673.839,1222.3,1790.03,2108.91,2312.05,2533.26,2848.69,2563.18,2639.98,2606.7,2448.04,3091.05,2587.07,2307.07,2247.07,1903.92,1439.44,1647.24,1375.35,1029.73,1056.79,597.944,703.688,436.479,448.306,340.017,397.89,151.812,255.731,168.922,141.247,148.703,119.767,63.1554,85.5478,46.0458,63.1554,17.1096,17.1096,0,0,28.9363,17.1096,0,0,17.1096,0
5.73,0,0,0,31.2916,112.315,602.308,1053.12,1521.61,1779.56,2041.45,2774.17,2957.09,2969.89,3083.48,3047.5,2562.75,2803.9,2443.57,2717.3,2167.52,2006.09,1742.56,1423.51,1554.81,1027.66,881.753,794.745,709.918,645.298,419.246,367.748,330.472,332.509,147.553,179.998,154.421,114.351,140.812,71.3613,62.5832,83.0598,51.7683,31.2916,31.2916,15.6458,31.2916,4.83089,15.6458,0,0,15.6458,0
